City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nishihara,JP,81.68,few clouds,26.1842,127.7558,Minshuku Agaihama
1,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
4,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
6,Rikitea,PF,72.14,light rain,-23.1203,-134.9692,People ThankYou
17,Umm Lajj,SA,87.57,scattered clouds,25.0213,37.2685,Moon light Furnished Units
21,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
25,Pringsewu,ID,73.26,overcast clouds,-5.3582,104.9744,Urban Style by Front One
27,Puerto Escondido,MX,87.55,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
28,Atuona,PF,77.11,clear sky,-9.8,-139.0333,Villa Enata
29,Kapaa,US,81.48,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Kankan,GN,70.77,light rain,10.3854,-9.3057,Hotel Bate
32,Kavieng,PG,81.66,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
33,Eastlake,US,80.47,clear sky,41.6539,-81.4504,Four Points by Sheraton Cleveland-Eastlake
35,Cabo San Lucas,MX,93.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
37,Sidi Ali,DZ,82.29,clear sky,36.0998,0.4206,Complexe touristique haje bezine
38,Rabo De Peixe,PT,72.91,broken clouds,37.8,-25.5833,Quinta das Giestas
39,Jamestown,US,77.52,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
40,Butaritari,KI,81.82,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
44,Broome,US,88.7,broken clouds,42.2506,-75.833,Chenango Valley State Park
48,Hithadhoo,MV,80.24,broken clouds,-0.6,73.0833,Scoop Guest House
49,Bethel,US,90.36,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
50,Tomatlan,MX,91.8,scattered clouds,19.9333,-105.25,El Salvial
53,Torbay,CA,79.57,broken clouds,47.6666,-52.7314,Gallows Cove
55,Weihai,CN,77.83,clear sky,37.5017,122.1136,Beihai Travel Resort
56,Gadwal,IN,79.38,moderate rain,16.2333,77.8,MS RESIDENCY
63,Yushan,CN,85.98,clear sky,31.3776,120.9543,裕元花园酒店
64,Iquitos,PE,87.84,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
69,Pagudpud,PH,78.04,moderate rain,18.5616,120.7868,Saud Beach Resort and Hotel - 2
71,Remontnoye,RU,83.32,overcast clouds,46.5614,43.6501,Remontnoe
72,Caravelas,BR,70.29,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
73,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
74,Manokwari,ID,78.13,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
77,Scottsboro,US,91.62,broken clouds,34.6723,-86.0341,Budget Inn
78,Viet Tri,VN,82.35,scattered clouds,21.3019,105.4308,Trung Tâm Hội Nghị Tỉnh Phú Thọ
79,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
80,Saanen,CH,74.17,overcast clouds,46.4896,7.2596,Alpine Lodge
81,Bougouni,ML,75.16,broken clouds,11.417,-7.479,Non Stop
82,Bengkulu,ID,74.25,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
85,Ledyard,US,88.23,clear sky,41.4398,-72.0142,Stonecroft Country Inn
86,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
90,Russell,US,91.96,few clouds,32.3502,-85.1999,Macs
94,Belmonte,BR,72.21,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
96,Miandrivazo,MG,70.41,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
97,Pitimbu,BR,77.59,clear sky,-7.4706,-34.8086,Reserva do Abiaí
98,Minab,IR,91.72,overcast clouds,27.1467,57.0801,Bam campground
99,Lorengau,PG,81.95,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
103,Iraucuba,BR,83.66,broken clouds,-3.7461,-39.7833,Hotel Terra da Amizade
111,Stabat,ID,75.4,moderate rain,3.761,98.4513,Link VII damai
114,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
116,Muli,MV,81.45,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
119,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
122,Sao Jose Da Coroa Grande,BR,74.91,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
126,Puerto Del Rosario,ES,80.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
127,Rajshahi,BD,82.26,overcast clouds,24.3667,88.6,Anjum Hotel International
131,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
132,Lompoc,US,94.01,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
133,Lagoa,PT,74.32,clear sky,39.05,-27.9833,Casa Das Faias
134,Buala,SB,81.09,light rain,-8.145,159.5921,Maringe Lagoon Lodge
137,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
138,Salalah,OM,77.18,moderate rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
140,Teguise,ES,71.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
142,Somotillo,NI,89.74,light rain,13.0433,-86.9064,Las Lomas Somotillo
144,Andros Town,BS,89.56,clear sky,24.7,-77.7667,Hanks place
150,Hilo,US,78.62,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
156,Sulangan,PH,82.85,scattered clouds,11.1373,123.7228,Maia's Beach Resort
157,Namatanai,PG,79.75,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
159,Hirara,JP,83.93,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
160,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
161,Sao Filipe,CV,78.33,light rain,14.8961,-24.4956,Hotel Xaguate
169,Praia Da Vitoria,PT,79.05,few clouds,38.7333,-27.0667,Hotel Branco I
171,Soyaux,FR,82.99,clear sky,45.65,0.2,Mercure Angoulême - Hôtel de France
175,Neftcala,AZ,78.66,clear sky,39.3742,49.2472,Otel restoran
177,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
179,Southbridge,US,89.46,broken clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
182,Conde,BR,76.46,clear sky,-7.2597,-34.9075,Pousada Beija Flor
185,Omboue,GA,72.7,overcast clouds,-1.5746,9.2618,Hotel Olako
186,Georgetown,MY,78.73,moderate rain,5.4112,100.3354,Cititel Penang
191,Honiara,SB,80.67,clear sky,-9.4333,159.95,Heritage Park Hotel
192,Kudahuvadhoo,MV,81.12,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
195,Kendari,ID,72.39,broken clouds,-3.945,122.4989,Hotel Wixel
196,Bremerton,US,81.34,scattered clouds,47.5673,-122.6326,Hampton Inn & Suites Bremerton
198,Kinshasa,CD,81.34,overcast clouds,-4.3246,15.3215,Star Hotel II
200,Sutton Coldfield,GB,71.2,scattered clouds,52.5667,-1.8167,Moor Hall Hotel & Spa
206,Xicotencatl,MX,94.53,overcast clouds,23.0167,-98.8833,Misioneros Vázquez Mireles
208,Doka,SD,71.87,overcast clouds,13.5167,35.7667,Um Rakuba Refugee Camp
209,Isangel,VU,77.92,overcast clouds,-19.55,169.2667,Tanna Lodge
211,Saint-Francois,FR,73.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
212,Vasto,IT,78.46,scattered clouds,42.1243,14.7059,Hotel President
215,Acarau,BR,78.98,scattered clouds,-2.8856,-40.12,castelo pizzaria
216,San Quintin,MX,77.13,broken clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
217,Westport,US,92.08,broken clouds,41.1415,-73.3579,The Westport Inn
218,Benjamin Constant,BR,87.93,light rain,-4.3831,-70.0311,CASA AVALIADA
220,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
222,Shelburne,CA,72.23,clear sky,44.0787,-80.2041,The Retreat at the Farm
223,Sur,OM,89.65,clear sky,22.5667,59.5289,Sur Plaza Hotel
224,Gaziantep,TR,80.53,clear sky,37.0594,37.3825,Novotel Gaziantep
225,North Bend,US,85.24,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
227,Iralaya,HN,82.76,overcast clouds,15.0,-83.2333,Iglesia morava renovada
234,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Central
241,Roma,US,82.96,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
243,Sartana,UA,74.05,clear sky,47.1744,37.6927,Сартана
244,Hambantota,LK,77.81,overcast clouds,6.1241,81.1185,Bungalow 63
246,Colon,PA,82.45,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
249,Lac Du Bonnet,CA,83.23,overcast clouds,50.2536,-96.0612,Drifter's Inn
250,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
255,Mondovi,IT,76.32,broken clouds,44.396,7.8176,Park Hotel
256,Jalu,LY,83.07,clear sky,29.0331,21.5482,صاحبة الفخامة
257,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
259,Shingu,JP,78.13,overcast clouds,33.7333,135.9833,Shingu UI Hotel
262,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
265,Amahai,ID,75.78,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
266,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
268,Harper,LR,75.6,overcast clouds,4.375,-7.7169,Screensaver
270,Campoverde,PE,87.49,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
273,Ciudad Bolivar,VE,84.38,overcast clouds,8.1222,-63.5497,Hotel Edi
274,San Gavino Monreale,IT,83.48,clear sky,39.5514,8.7917,Hotel Crocus
275,Morondava,MG,70.84,clear sky,-20.2833,44.2833,La Case Bambou
277,Hasaki,JP,79.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
280,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
281,Jaffrey,US,87.22,broken clouds,42.814,-72.0231,Woodbound Inn
284,La Peca,PE,82.54,light rain,-5.6111,-78.435,Hospedaje San Miguelito
285,Abu Kamal,SY,95.23,clear sky,34.4506,40.9171,البوكمال
287,Korla,CN,73.9,clear sky,41.7597,86.1469,Gulisitan Hotel
288,Nola,IT,85.39,overcast clouds,40.922,14.5329,Palazzo Giordano Bruno
291,Barcelona,ES,86.61,few clouds,41.3888,2.159,Axel Hotel Barcelona
292,Sola,VU,81.3,clear sky,-13.8833,167.55,Leumerus Bungalows
295,Passo De Camaragibe,BR,74.75,overcast clouds,-9.2368,-35.4901,Chácara vovó candinha
298,Kaohsiung,TW,84.15,scattered clouds,22.6163,120.3133,御宿商旅-中山館
299,Katsuura,JP,80.67,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
300,Fare,PF,78.4,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
302,Naze,JP,79.72,broken clouds,28.3667,129.4833,Shishime Hotel
303,Guerrero Negro,MX,80.96,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
305,Manggar,ID,80.1,overcast clouds,-2.8833,108.2667,Guest Hotel
307,Arraial Do Cabo,BR,73.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
308,Nador,MA,80.67,clear sky,35.174,-2.9287,Hôtel La Giralda
309,Fallon,US,95.92,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
314,Dawei,MM,76.05,overcast clouds,14.0833,98.2,Hotel Dawei
315,Cacu,BR,83.25,clear sky,-18.5567,-51.1308,Império Hotel
319,Pouembout,NC,73.42,overcast clouds,-21.1333,164.9,Camping de Tipenga
322,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
323,La Rioja,ES,78.58,broken clouds,42.25,-2.5,Casa Concejos
324,Sindgi,IN,78.69,moderate rain,16.9167,76.2333,Sasabal
325,Rosignano Marittimo,IT,81.54,clear sky,43.4079,10.4729,Hotel Elba
326,Pontes E Lacerda,BR,94.08,broken clouds,-15.2261,-59.3353,Hotel Bressan
327,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
328,Changchun,CN,75.16,broken clouds,43.88,125.3228,金安大酒店
329,Sinnamary,GF,80.71,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
331,Kinkala,CG,78.01,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
334,Mabaruma,GY,78.17,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
335,Winnemucca,US,88.07,scattered clouds,40.973,-117.7357,Winners Inn Casino
336,Kahului,US,82.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
338,Great Yarmouth,GB,77.25,broken clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
341,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
343,Wanning,CN,81.0,overcast clouds,18.8003,110.3967,Paradise Hotel
344,Bermeo,ES,73.6,clear sky,43.4209,-2.7215,Eco-Hotel Mundaka
345,Yinchuan,CN,79.93,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
346,Vilhena,BR,88.02,clear sky,-12.7406,-60.1458,Hotel Mirage
347,Hyeres,FR,79.41,few clouds,43.1167,6.1167,ibis budget Hyères Centre-Ville
348,Rasht,IR,76.82,few clouds,37.2808,49.5832,Travellers Camping
349,San Andres,CO,80.62,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
350,Dongkan,CN,77.72,clear sky,33.9997,119.8308,Triumphal Resort
352,Hami,CN,71.89,broken clouds,42.8,93.45,Laoyutang Resort
356,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
358,Hohhot,CN,70.09,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
359,Kuntaur,GM,79.75,overcast clouds,13.6667,-14.8833,Kairoh Garden Kuntaur
